開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
平成29年,4月,関係法令,1,選任している産業医がこの事業場に専属でないことが違反である。,選任している衛生管理者数が少ないことが違反である。,衛生管理者として選任している労働衛生コンサルタントがこの事業場に専属でないことが違反である。,衛生工学衛生管理者免許を有する者のうちから選任した衛生管理者が1人もいないことが違反である。,専任の衛生管理者が1人もいないことが違反である。,1,ある製造業の事業場の労働者数及び有害業務等従事状況並びに産業医及び衛生管理者の選任の状況は、次の1〜3のとおりである。この事業場の産業医及び衛生管理者の選任についての法令違反の状況に関する,"産業医の専属要件は、常時1,000人以上の労働者を使用する事業場、または有害業務に500人以上従事する事業場に適用されます。この問題では製造業でその条件を満たしているにもかかわらず専属でない産業医を選任しており、正答は①です。衛生管理者数・衛生工学衛生管理者の有無・専任の有無については問題文の条件を満たしているため、②③④⑤は違反に該当しません。選任要件の数値は確実に覚えておきましょう。"
平成29年,4月,関係法令,2,クロロメチルメチルエーテル,ベータ-プロピオラクトン,エチレンイミン,パラ-ニトロクロルベンゼン,ジアニシジン,5,次の化学物質のうち、これを製造しようとする者が、あらかじめ、厚生労働大臣の許可を受けなければならないものはどれか。,製造に厚生労働大臣の許可が必要な化学物質（第一類物質）は、ベンジジン、ジアニシジンなど8物質が指定されています。正答⑤のジアニシジンがこれに該当します。他の選択肢のクロロメチルメチルエーテルやベータ-プロピオラクトン、エチレンイミン、パラ-ニトロクロルベンゼンは第二類物質であり、製造自体に許可は不要ですが取り扱いに際して別途の規制が課されています。第一類・第二類の区別は最頻出テーマです。
平成29年,4月,関係法令,3,送気マスク,防音保護具,放射線測定器,電動ファン付き呼吸用保護具,検知管方式による一酸化炭素検定器,4,厚生労働大臣が定める規格を具備しなければ、譲渡し、貸与し、又は設置してはならない機械等に該当するものは次のうちどれか。,厚生労働大臣が定める規格を具備しなければ譲渡・貸与・設置できない機械等には、防じんマスク・防毒マスク・送気マスク・電動ファン付き呼吸用保護具・保護帽などが含まれます。正答④の電動ファン付き呼吸用保護具はこれに該当します。一方、防音保護具・放射線測定器・検知管方式による一酸化炭素検定器は規格対象外です。規格品と非規格品の区別は試験で繰り返し問われるため、対象品目の一覧を整理しておきましょう。
平成29年,4月,関係法令,4,水深10m以上の場所における潜水の作業,セメント製造工程においてセメントを袋詰めする作業,強烈な騒音を発生する場所における作業,酒類を入れたことのある醸造槽の内部における作業,試験研究業務としてベンゼンを取り扱う作業,4,次の作業を行うとき、法令上、作業主任者の選任が義務付けられているものはどれか。,酒類を入れたことのある醸造槽の内部は、残留する有機物の分解により酸素濃度が低下する酸素欠乏危険場所に該当し、酸素欠乏危険作業主任者の選任が義務付けられています（正答④）。潜水作業には潜水士の資格が必要ですが作業主任者の選任義務はありません。騒音が激しい場所・セメントの袋詰め・試験研究目的のベンゼン取り扱いは選任義務の対象外です。作業主任者の選任義務がある作業一覧を整理しておきましょう。
平成29年,4月,関係法令,5,チッパーによりチップする業務を行い著しい騒音を発する屋内作業場における等価騒音レベルの測定,パルプ液を入れてある槽の内部における空気中の酸素及び硫化水素の濃度の測定,有機溶剤等を製造する工程で有機溶剤等の混合の業務を行う屋内作業場における空気中のトルエン濃度の測定,溶融ガラスからガラス製品を成型する業務を行う屋内作業場における気温、湿度及びふく射熱の測定,通気設備が設けられている坑内の作業場における通気量の測定,3,次の法定の作業環境測定を行うとき、作業環境測定士に測定を実施させなければならないものはどれか。,作業環境測定士による測定が義務付けられているのは、有機溶剤・特定化学物質・放射性物質などの特定の有害物質の空気中濃度を測定する場合です。正答③の有機溶剤であるトルエンの濃度測定はこれに該当します。騒音レベルの測定・酸素および硫化水素の濃度測定・温度や湿度・ふく射熱の測定・通気量の測定は、作業環境測定士以外の者でも実施可能です。対象物質と義務のある測定項目を組み合わせて整理することが大切です。
平成29年,4月,関係法令,6,石綿等が使用されている建築物の解体等の作業に係る業務,潜水作業者への送気の調節を行うためのバルブ又はコックを操作する業務,特定化学物質のうち第二類物質を取り扱う作業に係る業務,廃棄物の焼却施設において焼却灰を取り扱う業務,エックス線装置を用いて行う透過写真の撮影の業務,3,次の業務に労働者を就かせるとき、法令に基づく安全又は衛生のための特別の教育を行わなければならないものに該当しないものはどれか。,法令に基づく特別の教育が義務付けられていないのは、正答③の特定化学物質のうち第二類物質の取り扱い作業です。第一類物質の作業には特別教育が必要ですが、第二類物質には規定がありません。石綿解体作業・潜水送気操作・廃棄物焼却施設での焼却灰取り扱い・エックス線撮影業務はそれぞれ特別の教育が義務付けられています。第一類と第二類の違いは試験の頻出論点であり、どちらに何が含まれるかをしっかり押さえておくことが必要です。
平成29年,4月,関係法令,7,第一種有機溶剤等を用いて洗浄作業を行う場所に、局所排気装置を設け有効に稼働させているが、作業者に送気マスクも有機ガス用防毒マスクも使用させていない。,第二種有機溶剤等を用いて払しょく作業を行う場所に、プッシュプル型換気装置を設けブース内の気流の乱れもなく有効に稼働させているが、作業者に送気マスクも有機ガス用防毒マスクも使用させていない。,第三種有機溶剤等を用いて吹付けによる塗装作業を行う場所に、全体換気装置を設け有効に稼働させているが、作業者に送気マスクも有機ガス用防毒マスクも使用させていない。,作業場所に設置した局所排気装置で空気清浄装置を設けていないものの排気口の高さを、屋根から2mとしている。,第二種有機溶剤等を用いて、つや出し作業を行う場所の見やすい箇所に、有機溶剤等の区分を黄による色分けと色分け以外の方法を併用して表示している。,3,地下室の内部の作業場において、常時、有機溶剤業務を行う場合の措置について、有機溶剤中毒予防規則に違反しているものは次のうちどれか。ただし、同規則に定める適用除外及び設備の特例はないものとする。,有機溶剤中毒予防規則では、地下室等の特定の場所で吹付け塗装を行う場合、全体換気装置のみでは不十分で、局所排気装置またはプッシュプル型換気装置の設置が必要です。正答③は第三種有機溶剤の吹付け作業に全体換気のみで対応しており違反となります。排気口の高さを屋根から2m以上にすること（④）や黄色の色分けと他の方法の併用表示（⑤）はそれぞれ基準を満たしており違反ではありません。吹付け作業の規制は特に重要です。
平成29年,4月,関係法令,8,海水が滞留したことのあるピットの内部における作業,相当期間密閉されていた鋼製のタンクの内部における作業,果菜の熟成のために使用している倉庫の内部における作業,第一鉄塩類を含有している地層に接するたて坑の内部における作業,ドライアイスを使用して冷蔵を行っている保冷貨物自動車の内部における作業,1,次の作業のうち、第二種酸素欠乏危険作業に該当するものはどれか。,第二種酸素欠乏危険作業とは、酸素欠乏に加えて硫化水素中毒の危険もある作業場所での作業を指します。海水が滞留したことのあるピットは硫化水素が発生しやすい環境であり第二種に該当するため、正答は①です。鋼製タンク・果菜熟成倉庫・第一鉄塩類を含む地層に接する坑・ドライアイス使用の保冷貨物車内は、酸素欠乏のみのリスクで第一種酸素欠乏危険作業に該当します。第一種・第二種の区分は必ず理解しておきましょう。
平成29年,4月,関係法令,9,屋内のガラスを製造する工程において、原料を溶解炉に投げ入れる箇所,耐火物を用いた炉を解体する箇所,屋内において、研磨材を用いて手持式動力工具により金属を研磨する箇所,屋内において、フライアッシュを袋詰めする箇所,タンクの内部において、金属をアーク溶接する箇所,4,次の粉じん発生源のうち、法令上、特定粉じん発生源に該当するものはどれか。,特定粉じん発生源は粉じん障害防止規則別表第2に列挙された特定の箇所を指します。正答④のフライアッシュを袋詰めする箇所がこれに該当します。ガラス製造で原料を溶解炉に投げ入れる箇所・耐火物炉の解体箇所・手持式工具による金属研磨箇所・タンク内でのアーク溶接箇所は特定粉じん発生源ではありません。「粉じん作業」全般と「特定粉じん発生源」を混同しないよう注意が必要であり、この区別は試験で繰り返し出題されます。
平成29年,4月,関係法令,10,さく岩機、鋲打機等身体に著しい振動を与える機械器具を用いて行う業務,赤外線又は紫外線にさらされる業務,多量の高熱物体を取り扱う業務,著しく寒冷な場所における業務,強烈な騒音を発する場所における業務,2,労働基準法に基づき、満18歳に満たない者を就かせてはならない業務に該当しないものは次のうちどれか。,年少者（満18歳未満）を就かせてはならない業務に含まれないのが正答②の赤外線または紫外線にさらされる業務です。さく岩機等による身体への著しい振動を与える業務・多量の高熱物体を取り扱う業務・著しく寒冷な場所での業務・強烈な騒音を発する場所での業務はいずれも就業制限業務に含まれます。赤外線・紫外線業務が対象外という点は意外に思われやすく、試験で引っかかりやすい選択肢なので特に注意して覚えておきましょう。
