question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、正しいものはどれか。,,,,,,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,血小板は酸素を全身に運搬する主要な血球である。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,1,正しいものは1です。赤血球はヘモグロビンを含み、酸素と結合して全身へ運搬する血球です。2は、酸素運搬を担うのは赤血球であり、血小板は止血に関与するため誤り。3は、大動脈へ血液を送り出すのは左心室であり、右心室は肺へ送り出すため誤り。4は、交感神経が優位になると心拍数は増加するため、低下とする記述は誤り。5は、尿素を生成してアンモニアを解毒する主な臓器は肝臓であり、膵臓ではないため誤りです。,,,,
2,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、誤っているものはどれか。,,,,,,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,自律神経系は、交感神経系と副交感神経系に大別される。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,赤血球は抗体を産生して免疫反応の中心となる。,骨格筋は随意筋であり、意思によって動かすことができる。,4,誤っているものは4です。抗体を産生して免疫反応の中心となるのはリンパ球などの白血球であり、赤血球の主な働きはヘモグロビンによる酸素の運搬です。1は、吸気時には横隔膜が収縮して下がり胸郭容積が大きくなるので正しい。2は、自律神経系が交感神経系と副交感神経系に大別されるので正しい。3は、肝臓が胆汁の生成・解毒・グリコーゲンの貯蔵に関与するので正しい。5は、骨格筋が随意筋であり意思によって動かせるので正しい記述です。,,,,
3,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、適切なものはどれか。,,,,,,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,5,正しいものは5です。赤血球はヘモグロビンを含み、主に酸素の運搬に関与します。1は、吸気時には横隔膜が収縮して下がり胸郭容積が大きくなるため、弛緩して上がり容積が小さくなるとする記述は逆で誤り。2は、自律神経系は交感神経系と副交感神経系から成り、大脳皮質と小脳から構成されるものではないため誤り。3は、インスリンを分泌するのは膵臓であり肝臓ではないため誤り。4は、骨格筋は随意筋で意思により動かせるため誤りです。,,,,
4,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、不適切なものはどれか。,,,,,,肺静脈には、肺で酸素を取り込んだ血液が流れる。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,赤血球は抗体を産生して免疫反応の中心となる。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,3,不適切なものは3です。抗体を産生して免疫反応の中心となるのは白血球であり、赤血球は酸素の運搬を担います。1は、肺静脈には肺で酸素を取り込んだ動脈血が流れるので正しい。2は、副交感神経が優位になると消化管運動は促進されやすいので正しい。4は、腎臓が尿の生成を通じて老廃物の排泄や体液の調節に関与するので正しい。5は、暑熱時に発汗や皮膚血管の拡張により体熱の放散が促進されるので正しい記述です。,,,,
5,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、正しいものはどれか。,,,,,,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,白血球は、細菌などに対する生体防御に関与する。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,2,正しいものは2です。白血球は細菌などの異物に対する生体防御・免疫に関与します。1は、肺胞では血液中の二酸化炭素が肺胞内へ移動し、肺胞内の酸素が血液中へ移動する向きであり、記述は逆なので誤り。3は、肺静脈には酸素の多い動脈血が流れるため、酸素の少ない血液とする記述は誤り。4は、副交感神経が優位になると消化管運動はむしろ促進されるため、停止とする記述は誤り。5は、胆汁を生成するのは肝臓であり腎臓ではないため誤りです。,,,,
6,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、誤っているものはどれか。,,,,,,左心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,白血球は血液凝固の主役であり、血栓を形成する。,5,誤っているものは5です。血液凝固や血栓形成の主役は血小板や血漿中の凝固因子であり、白血球は免疫・生体防御に関与します。1は、左心室から送り出された血液が大動脈を通って全身へ送られるので正しい。2は、交感神経が優位になると心拍数が増加しやすいので正しい。3は、膵臓のランゲルハンス島から分泌されるインスリンが血糖値を低下させるので正しい。4は、心筋が不随意筋であり規則的に拍動するので正しい記述です。,,,,
7,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、適切なものはどれか。,,,,,,白血球は、細菌などに対する生体防御に関与する。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,1,正しいものは1です。白血球は細菌などに対する生体防御に関与します。2は、大動脈へ血液を送り出すのは左心室であり、右心室は肺へ送り出すため誤り。3は、交感神経が優位になると心拍数は増加するため、低下とする記述は誤り。4は、尿素を生成してアンモニアを解毒する主な臓器は肝臓であり膵臓ではないため誤り。5は、心筋は不随意筋であり意思によって拍動を止められないため誤りです。,,,,
8,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、不適切なものはどれか。,,,,,,自律神経系は、交感神経系と副交感神経系に大別される。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,白血球は血液凝固の主役であり、血栓を形成する。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,4,不適切なものは4です。血液凝固や血栓形成の主役は血小板や凝固因子であり、白血球は免疫・生体防御を担います。1は、自律神経系が交感神経系と副交感神経系に大別されるので正しい。2は、肝臓が胆汁の生成・解毒・グリコーゲンの貯蔵に関与するので正しい。3は、骨格筋が随意筋であり意思によって動かせるので正しい。5は、発汗が多い作業では水分だけでなく塩分の補給も重要であるので正しい記述です。,,,,
9,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、正しいものはどれか。,,,,,,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,自律神経系は、大脳皮質と小脳だけから構成される。,血小板は、出血時の止血や血液凝固に関与する。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,3,正しいものは3です。血小板は出血時の止血や血液凝固に関与します。1は、吸気時には横隔膜が収縮して下がり胸郭容積が大きくなるため、弛緩して上がり容積が小さくなるとする記述は逆で誤り。2は、自律神経系は交感神経系と副交感神経系から成り、大脳皮質と小脳から構成されるものではないため誤り。4は、インスリンを分泌するのは膵臓であり肝臓ではないため誤り。5は、骨格筋は随意筋で意思により動かせるため誤りです。,,,,
10,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、誤っているものはどれか。,,,,,,血小板は酸素を全身に運搬する主要な血球である。,肺静脈には、肺で酸素を取り込んだ血液が流れる。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,1,誤っているものは1です。酸素を全身に運搬する主要な血球は赤血球であり、血小板は止血や血液凝固に関与します。2は、肺静脈には肺で酸素を取り込んだ動脈血が流れるので正しい。3は、副交感神経が優位になると消化管運動は促進されやすいので正しい。4は、腎臓が尿の生成を通じて老廃物の排泄や体液の調節に関与するので正しい。5は、暑熱時に発汗や皮膚血管の拡張により体熱の放散が促進されるので正しい記述です。,,,,
