slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
application-deadline-checklist,受験・申込,第一種衛生管理者試験の申込締切前チェックリスト,published,A制度,do,A,70,keep,,第一種衛生管理者試験の申込締切前チェックリスト,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-application-flow,受験・申込,第一種衛生管理者試験の申込みの流れ【オンライン手順と書類】,published,A制度,do,A,70,keep,,第一種衛生管理者試験の申込みの流れ【オンライン手順と書類】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-eligibility,受験・申込,第一種衛生管理者試験の受験資格【選任・実務・研修の区分一覧】,published,A制度,do,A,70,keep,,第一種衛生管理者試験の受験資格【選任・実務・研修の区分一覧】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-fees,受験・申込,"第一種衛生管理者試験の受験料【8,800円·支払方法と予算の組み方】",published,A制度,do,A,70,keep,,"第一種衛生管理者試験の受験料【8,800円·支払方法と予算の組み方】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-schedule,受験・申込,第一種衛生管理者試験の試験日程【令和8年度·月次センター実施】,published,A制度,do,A,70,keep,,第一種衛生管理者試験の試験日程【令和8年度·月次センター実施】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-venue-and-region,受験・申込,第一種衛生管理者試験の受験地·会場【センター選択と公式案内】,published,A制度,do,A,70,keep,,第一種衛生管理者試験の受験地·会場【センター選択と公式案内】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
official-info-sources,試験概要,第一種衛生管理者·公式情報の確認先【要項·日程·申込】,published,A制度,do,C,58,keep,,第一種衛生管理者·公式情報の確認先【要項·日程·申込】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
pass-announcement-guide,注意点・更新,第一種衛生管理者試験の合格発表の確認方法【Web·郵送】,published,A制度,do,C,58,keep,,第一種衛生管理者試験の合格発表の確認方法【Web·郵送】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
registration-after-pass,注意点・更新,第一種衛生管理者試験の合格後の登録·免許,published,A制度,do,C,58,keep,,第一種衛生管理者試験の合格後の登録·免許,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-format-overview,出題・形式,第一種衛生管理者試験の形式【44問·五肢択一·180分·400点満点】,published,B形式,do,C,52,keep,,第一種衛生管理者試験の形式【44問·五肢択一·180分·400点満点】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-scope-overview,出題・形式,第一種衛生管理者試験の出題範囲の概要【5出題範囲·44問の地図】,published,B形式,do,C,52,keep,,第一種衛生管理者試験の出題範囲の概要【5出題範囲·44問の地図】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
subject-breakdown,出題・形式,第一種衛生管理者試験の配点と出題範囲【44問·5範囲·各40％足切り】,published,B形式,do,C,52,keep,,第一種衛生管理者試験の配点と出題範囲【44問·5範囲·各40％足切り】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
syllabus-how-to-read,出題・形式,第一種衛生管理者試験の要項·シラバスの読み方【公式要項の確認手順】,published,B形式,do,C,52,keep,,第一種衛生管理者試験の要項·シラバスの読み方【公式要項の確認手順】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
time-limit-strategy,出題・形式,第一種衛生管理者·時間配分の戦略【180分·44問·約4分/問】,published,B形式,do,C,52,keep,,第一種衛生管理者·時間配分の戦略【180分·44問·約4分/問】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
pass-rate,合格・難易度,第一種衛生管理者試験の合格率の読み方【公表資料·演習得点との別管理】,published,C難易度,do,A,68,keep,,第一種衛生管理者試験の合格率の読み方【公表資料·演習得点との別管理】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
pass-score,合格・難易度,第一種衛生管理者の目標得点【総合240点·各出題範囲40％ライン】,published,C難易度,do,A,68,keep,,第一種衛生管理者の目標得点【総合240点·各出題範囲40％ライン】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
textbook-selection,独学対策,第一種衛生管理者試験のテキストの選び方【要項指定版·1冊主義】,published,D学習,do,B,60,keep,,第一種衛生管理者試験のテキストの選び方【要項指定版·1冊主義】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
study-plan-working,学習計画,第一種衛生管理者試験の社会人向け学習計画【平日60分·土日集中·7か月】,published,D学習,do,B,30,merge,affiliate-beginner-material-set,第一種衛生管理者試験の社会人向け学習計画【平日60分·土日集中·7か月】,スコアリングで残否を判定（50本上限・スコア30で merge）,no,,n/a,no,no,other,,
field-eisei-harm-basics,分野別対策,第一種衛生管理者·労働衛生（有害）基礎【10問·化学管理】,published,E分野,do,B,56,keep,,第一種衛生管理者·労働衛生（有害）基礎【10問·化学管理】,分野別（field-eisei-harm-basics）（スコア上位で keep 候補）,no,eisei-harm,ok,no,no,field,,
field-eisei-harm-past-question-focus,分野別対策,第一種衛生管理者・労働衛生（有害）過去問焦点【保護具・物質・優先順】,published,E分野,do,B,56,keep,,第一種衛生管理者・労働衛生（有害）過去問焦点【保護具・物質・優先順】,分野別（field-eisei-harm-past-question-focus）（スコア上位で keep 候補）,no,eisei-harm,ok,no,no,field,,
field-eisei-other-basics,分野別対策,第一種衛生管理者·労働衛生（有害以外）基礎【7問·管理体制】,published,E分野,do,B,56,keep,,第一種衛生管理者·労働衛生（有害以外）基礎【7問·管理体制】,分野別（field-eisei-other-basics）（スコア上位で keep 候補）,no,eisei-other,ok,no,no,field,,
field-eisei-other-past-question-focus,分野別対策,第一種衛生管理者・労働衛生（有害以外）過去問焦点【健診・ストレス・優先順】,published,E分野,do,B,56,keep,,第一種衛生管理者・労働衛生（有害以外）過去問焦点【健診・ストレス・優先順】,分野別（field-eisei-other-past-question-focus）（スコア上位で keep 候補）,no,eisei-other,ok,no,no,field,,
field-law-harm-basics,分野別対策,第一種衛生管理者·関係法令（有害）基礎【10問·許容濃度】,published,E分野,do,B,56,keep,,第一種衛生管理者·関係法令（有害）基礎【10問·許容濃度】,分野別（field-law-harm-basics）（スコア上位で keep 候補）,no,law-harm,ok,no,no,field,,
field-law-harm-past-question-focus,分野別対策,第一種衛生管理者・関係法令（有害）過去問焦点【許容・届出・優先順】,published,E分野,do,B,56,keep,,第一種衛生管理者・関係法令（有害）過去問焦点【許容・届出・優先順】,分野別（field-law-harm-past-question-focus）（スコア上位で keep 候補）,no,law-harm,ok,no,no,field,,
field-law-other-basics,分野別対策,第一種衛生管理者·関係法令（有害以外）基礎【7問·安衛法骨格】,published,E分野,do,B,56,keep,,第一種衛生管理者·関係法令（有害以外）基礎【7問·安衛法骨格】,分野別（field-law-other-basics）（スコア上位で keep 候補）,no,law-other,ok,no,no,field,,
field-law-other-past-question-focus,分野別対策,第一種衛生管理者・関係法令（有害以外）過去問焦点【選任・保存・優先順】,published,E分野,do,B,56,keep,,第一種衛生管理者・関係法令（有害以外）過去問焦点【選任・保存・優先順】,分野別（field-law-other-past-question-focus）（スコア上位で keep 候補）,no,law-other,ok,no,no,field,,
